pH,EC,W_Temp,A_Temp,Humid,CO2,Light_onoff,Water_cooler,Air_Cooler,Air_Vent,Dehumidifier,Humidifier,Acid_Dozer,Base_Dozer,Nutrient_Dozer,Binary,Decimal_Label
0.02,0.22,21.76,30.83,59.57,50,0,0,1,0,0,1,0,1,1,1001011,75
6.89,1.6,7.78,1.51,19.2,1147,1,0,0,1,0,1,1,0,0,101100,44
5.72,1.53,22.91,8.86,48.63,358,1,1,0,0,0,1,0,1,0,10001010,138
8.44,0.04,4.48,1.21,98.54,263,1,0,0,0,1,0,1,0,1,10101,21
13.41,1.73,17.2,19.39,15.87,999,0,0,0,0,0,1,1,0,0,1100,12
5.42,1.62,32.27,30.68,58.74,1234,0,1,1,1,0,1,0,1,0,11101010,234
8.7,1.54,29.8,23.38,44.02,402,0,1,0,0,0,1,1,0,0,10001100,140
7.12,1.39,28.69,25.87,63.56,537,1,1,1,0,0,0,1,0,0,11000100,196
10.98,0.2,11.27,6.17,74.21,724,1,0,0,0,0,0,1,0,1,101,5
1.06,0.75,16.04,33.91,5.14,844,0,0,1,0,0,1,0,1,0,1001010,74
2.9,1.61,9.75,3.1,4.61,371,1,0,0,0,0,1,0,1,0,1010,10
1.79,1.58,10.13,8.64,22.51,940,0,0,0,0,0,1,0,1,0,1010,10
0.89,1.55,18.33,12.95,89.24,1022,0,0,0,1,1,0,0,1,0,110010,50
6.04,0.06,15.26,28.81,77.87,395,0,0,1,0,0,0,1,0,1,1000101,69
7.22,0.6,32.85,26.87,41.46,125,0,1,1,0,0,1,1,0,0,11001100,204
9.85,1.6,15.99,3.59,21.43,961,0,0,0,0,0,1,1,0,0,1100,12
0.51,1.44,26.48,8.73,77.51,1017,0,1,0,1,0,0,0,1,0,10100010,162
1.92,1.31,25.98,33.33,28.84,913,0,1,1,0,0,1,0,1,0,11001010,202
7.75,1.64,2.34,31.2,76.26,108,0,0,1,0,0,0,1,0,0,1000100,68
1.67,1.1,15.36,28.86,60.2,378,1,0,1,0,0,0,0,1,0,1000010,66
4.69,1.75,24.51,9.05,76.74,607,1,1,0,0,0,0,0,1,0,10000010,130
1.13,1.49,24.15,23.79,98.84,1303,0,1,0,1,1,0,0,1,0,10110010,178
9.03,1.27,29.42,34.77,68.1,608,0,1,1,0,0,0,1,0,0,11000100,196
10.27,1.72,31.82,15.75,6.57,1356,1,1,0,1,0,1,1,0,0,10101100,172
9.63,1.62,23.56,5.03,47.2,88,1,1,0,0,0,1,1,0,0,10001100,140
10.56,1.01,27.61,14.03,76.07,725,0,1,0,0,0,0,1,0,0,10000100,132
10.78,0.09,2.09,9.33,81.21,861,0,0,0,0,1,0,1,0,1,10101,21
2.68,1.99,11.4,32.16,95.13,1008,1,0,1,1,1,0,0,1,0,1110010,114
4.62,0.48,1.54,30.42,24.01,325,1,0,1,0,0,1,0,1,1,1001011,75
4.63,0.64,17.8,10.66,28.92,420,1,0,0,0,0,1,0,1,0,1010,10
13.44524103,0.307686911,27.1387332,32.56070515,34.42521884,947.5430974,0,1,1,0,0,1,1,0,1,11001101,205
12.36198981,1.15274726,3.950130594,4.468025553,90.02368436,795.4825645,0,0,0,0,1,0,1,0,0,10100,20
6.720048585,1.387140382,6.068602661,21.40645776,6.537799179,876.1546413,1,0,0,0,0,1,1,0,0,1100,12
3.207485908,0.8044582,21.13554237,28.60116525,95.10734858,365.9432736,1,0,1,0,1,0,0,1,0,1010010,82
11.96383439,1.339833234,32.54944478,18.85926807,10.95988722,206.1910144,1,1,0,0,0,1,1,0,0,10001100,140
9.508112539,1.514562291,30.04087616,20.31698196,15.9402608,1106.883095,0,1,0,1,0,1,1,0,0,10101100,172
2.006054412,0.292470047,34.78464467,2.591298108,67.79851979,429.4405077,0,1,0,0,0,0,0,1,1,10000011,131
8.886679664,0.209741736,15.9444161,1.862833719,97.98872652,878.5914593,0,0,0,0,1,0,1,0,1,10101,21
11.30476568,0.813609641,34.09140577,7.589466472,36.94229766,264.3020086,1,1,0,0,0,1,1,0,0,10001100,140
13.12501464,0.905307584,0.525644689,10.02119423,47.91785401,1437.713697,0,0,0,1,0,1,1,0,0,101100,44
1.709835993,1.329238084,16.55493941,1.558130055,29.46472352,1.690732896,1,0,0,0,0,1,0,1,0,1010,10
8.175448261,1.736453953,29.39949412,14.41598433,71.98073751,809.8727028,0,1,0,0,0,0,1,0,0,10000100,132
4.277322101,1.966891566,5.64854409,3.137776467,89.94578144,1258.342244,0,0,0,1,1,0,0,1,0,110010,50
12.04042383,1.083601183,5.355504558,29.02687406,27.1771592,283.9536138,1,0,1,0,0,1,1,0,0,1001100,76
9.782049309,1.427094543,0.027495465,15.32197618,77.1881043,1195.624211,0,0,0,1,0,0,1,0,0,100100,36
2.97244455,0.760331592,4.557219878,22.49854782,22.81267746,217.999287,0,0,0,0,0,1,0,1,0,1010,10
6.540737839,0.450124112,8.637886585,15.32644245,28.00859498,1205.877355,0,0,0,1,0,1,1,0,1,101101,45
7.510618474,0.742508114,16.47358222,13.07927999,88.05999633,1173.497426,1,0,0,1,1,0,1,0,0,110100,52
2.363596484,0.441700361,15.94487587,20.08447606,60.07607376,1206.581008,1,0,0,1,0,0,0,1,1,100011,35
11.4456412,0.123135538,7.350387892,4.251197495,4.110534715,1208.577532,1,0,0,1,0,1,1,0,1,101101,45
0.606408454,1.197385779,21.59374538,18.53164017,38.60366717,450.455287,0,0,0,0,0,1,0,1,0,1010,10
4.907136853,1.499842212,22.09113803,2.939595632,19.58324652,921.480159,1,1,0,0,0,1,0,1,0,10001010,138
3.493728491,0.485399272,11.28995023,12.35056069,85.89443583,1037.521231,0,0,0,1,1,0,0,1,1,110011,51
12.40274434,0.489957445,13.49318198,25.06292257,35.88855559,615.8809758,1,0,1,0,0,1,1,0,1,1001101,77
4.572036967,1.394837604,30.15085921,13.40491103,47.60177621,1367.907548,0,1,0,1,0,1,0,1,0,10101010,170
11.60759753,0.543771862,12.58642471,3.368571099,64.84827073,1425.629786,1,0,0,1,0,0,1,0,1,100101,37
5.291927988,1.117942414,24.02855856,19.19128622,35.98872373,1463.903994,0,1,0,1,0,1,0,1,0,10101010,170
11.41250539,1.363839704,4.201709256,20.99548188,46.58936622,200.3581782,1,0,0,0,0,1,1,0,0,1100,12
6.550755425,1.188794342,12.36248642,11.94844871,17.55363789,990.6821436,1,0,0,0,0,1,1,0,0,1100,12
3.751353223,0.971131301,1.458649726,11.98442477,80.92390695,1087.146224,1,0,0,1,1,0,0,1,0,110010,50
3.222065048,0.955993331,22.02509405,28.63186717,79.65400832,801.0245907,0,1,1,0,0,0,0,1,0,11000010,194
5.898549666,0.554049945,28.38610807,3.970852427,4.296454091,551.0761959,1,1,0,0,0,1,1,0,1,10001101,141
11.57115974,1.433691464,18.3945738,0.714994281,25.80087247,1277.734924,1,0,0,1,0,1,1,0,0,101100,44
3.47559503,0.674327185,32.21914697,13.29331782,35.36011751,1077.696557,0,1,0,1,0,1,0,1,0,10101010,170
10.54141117,0.0444307,31.37866215,6.723842557,63.92076201,184.020511,1,1,0,0,0,0,1,0,1,10000101,133
8.293721544,1.404927686,18.26833899,27.91923514,59.53250106,881.5546144,0,0,1,0,0,1,1,0,0,1001100,76
3.081227473,1.219791147,5.877769408,17.37703576,38.08092339,78.47047863,1,0,0,0,0,1,0,1,0,1010,10
11.24936507,1.893787623,26.4483758,30.62576679,77.48655607,1235.917022,0,1,1,1,0,0,1,0,0,11100100,228
2.183328463,1.151957363,20.43527196,15.19285531,7.79911695,973.0412344,1,0,0,0,0,1,0,1,0,1010,10
1.341105838,1.958030927,7.694288408,19.22800558,98.64412926,807.2247323,0,0,0,0,1,0,0,1,0,10010,18
13.04519808,0.355290698,5.302249399,12.12116428,52.53594138,789.7062221,0,0,0,0,0,1,1,0,1,1101,13
11.31940184,1.461131539,16.01355159,16.29022652,51.9193242,1216.068858,0,0,0,1,0,1,1,0,0,101100,44
13.99249902,1.481370422,29.43216914,23.32904977,13.77604232,600.1251359,1,1,0,0,0,1,1,0,0,10001100,140
0.286520537,0.255805156,31.38551117,1.565931463,20.78123759,1111.183138,1,1,0,1,0,1,0,1,1,10101011,171
2.023526401,1.298875844,2.354414611,20.3556611,63.71333162,1497.627148,0,0,0,1,0,0,0,1,0,100010,34
2.811810749,0.235179491,28.96442581,16.65213671,60.2105976,398.860918,1,1,0,0,0,0,0,1,1,10000011,131
2.112984119,0.337959277,27.78402389,8.936242983,99.12231522,376.0345974,1,1,0,0,1,0,0,1,1,10010011,147
10.34260047,1.416352891,0.341540508,1.43453135,15.00360971,86.4799467,1,0,0,0,0,1,1,0,0,1100,12
0.158861034,0.583045843,34.2456115,7.922138073,81.49082158,1097.128152,0,1,0,1,1,0,0,1,1,10110011,179
10.03694863,1.671096072,32.12538465,3.769485352,16.07937284,837.8810792,1,1,0,0,0,1,1,0,0,10001100,140
10.7309757,1.851216738,20.20506923,23.88141703,48.48374725,1108.325157,1,0,0,1,0,1,1,0,0,101100,44
10.41249302,1.322761603,5.750781767,9.785194277,13.05810763,1483.084907,0,0,0,1,0,1,1,0,0,101100,44
0.731485152,0.841303053,18.0404534,4.617576178,17.17409478,1372.684382,1,0,0,1,0,1,0,1,0,101010,42
5.157381251,1.465822195,13.39403286,29.56046782,72.995607,11.71824215,1,0,1,0,0,0,0,1,0,1000010,66
8.77673287,0.004988341,27.34937673,17.9739529,96.85125046,1305.852336,1,1,0,1,1,0,1,0,1,10110101,181
10.99740403,0.234264964,8.636672705,19.48475466,0.045447445,340.3696208,1,0,0,0,0,1,1,0,1,1101,13
7.482055014,0.131875685,26.11669166,14.99440145,80.08425178,1186.391683,1,1,0,1,1,0,1,0,1,10110101,181
10.96752307,1.24531469,21.06629968,5.462385907,85.17859419,1247.503881,1,0,0,1,1,0,1,0,0,110100,52
2.379644967,1.117644537,21.17108431,25.26246763,67.6186752,1388.358689,0,0,1,1,0,0,0,1,0,1100010,98
1.677277491,1.290957456,32.74413433,6.967829185,22.8723433,1192.438843,0,1,0,1,0,1,0,1,0,10101010,170
7.557879857,0.990881103,29.17504191,25.46269292,60.66916411,1097.691784,0,1,1,1,0,0,1,0,0,11100100,228
1.82429986,0.705879231,14.17587799,23.74970244,17.84681058,37.05524433,0,0,0,0,0,1,0,1,0,1010,10
11.38043587,1.138413454,33.89419328,28.40152549,25.86641611,1427.58408,1,1,1,1,0,1,1,0,0,11101100,236
3.624780214,0.835680363,11.45251691,10.5949005,44.26993194,862.1133475,1,0,0,0,0,1,0,1,0,1010,10
7.93711752,1.548143563,21.95419862,20.04291739,53.47655096,253.0778073,1,0,0,0,0,1,1,0,0,1100,12
4.565394577,0.666112735,27.36333652,3.821188019,81.79870543,591.3235049,1,1,0,0,1,0,0,1,0,10010010,146
3.15936494,1.686825633,17.35610202,25.8277448,50.55993746,1491.515459,0,0,1,1,0,1,0,1,0,1101010,106
10.67759299,0.612850908,23.47725687,3.293357591,28.40010603,841.9005863,0,1,0,0,0,1,1,0,0,10001100,140
2.34614082,0.76317027,23.17702813,12.94055328,90.78591463,1106.571988,0,1,0,1,1,0,0,1,0,10110010,178
1.842770305,1.002483297,31.6882272,14.50541346,11.49914493,895.1672671,1,1,0,0,0,1,0,1,0,10001010,138
8.986896154,1.631028127,27.94720403,32.67102344,42.51831621,252.8563955,0,1,1,0,0,1,1,0,0,11001100,204
9.168322752,1.582569544,5.146098944,28.45775522,63.7897321,1090.743436,1,0,1,1,0,0,1,0,0,1100100,100
7.185773787,0.748415159,14.10152197,29.05353873,21.14164593,1356.854008,0,0,1,1,0,1,1,0,0,1101100,108
8.468971983,1.167672653,27.71356753,32.62360206,5.841055854,1236.094055,0,1,1,1,0,1,1,0,0,11101100,236
4.364866527,1.956866692,12.19935396,0.554139802,36.120407,1106.560776,1,0,0,1,0,1,0,1,0,101010,42
4.686363175,0.43297302,17.97444633,14.1803,74.61828634,64.79472346,1,0,0,0,0,0,0,1,1,11,3
9.255627746,1.297580713,31.14179625,22.46181719,47.57895521,728.588457,1,1,0,0,0,1,1,0,0,10001100,140
6.906604275,1.175997964,24.66388924,19.39313187,1.486503578,157.6912842,1,1,0,0,0,1,1,0,0,10001100,140
8.438704194,0.216663511,19.76107234,5.948682886,62.18820439,1004.512023,0,0,0,1,0,0,1,0,1,100101,37
0.282936598,0.383445355,6.448888542,30.03560903,10.48659081,188.6151765,1,0,1,0,0,1,0,1,1,1001011,75
5.147963013,0.604216495,20.33178723,2.218249807,47.35932789,201.573552,0,0,0,0,0,1,0,1,0,1010,10
9.057072646,1.778925555,12.92518973,9.270694258,66.64127417,763.3804716,1,0,0,0,0,0,1,0,0,100,4
4.265837189,0.833197695,11.90045147,1.913140702,95.43419478,382.721342,1,0,0,0,1,0,0,1,0,10010,18
4.55986256,1.343241741,22.5212092,28.63754437,86.88610997,1029.16783,1,1,1,1,1,0,0,1,0,11110010,242
3.509474788,0.850575471,4.24537503,34.99509873,82.95698302,1347.933151,0,0,1,1,1,0,0,1,0,1110010,114
4.436490062,1.127842493,0.79201372,0.385879561,75.17185004,9.574125573,0,0,0,0,0,0,0,1,0,10,2
5.781155562,0.579528016,31.22107159,31.87949835,99.89407778,555.9704131,1,1,1,0,1,0,0,1,1,11010011,211
8.666403415,0.672428594,24.16328774,32.30267656,48.52572169,788.3170283,0,1,1,0,0,1,1,0,0,11001100,204
5.670035398,0.931577514,3.406726026,19.44905624,68.09735805,805.8274403,1,0,0,0,0,0,0,1,0,10,2
13.96728778,1.258073056,5.528544384,13.30391825,76.37687411,1337.425366,1,0,0,1,0,0,1,0,0,100100,36
13.46693502,1.812165758,24.1306671,31.84447125,52.82746495,177.3516745,0,1,1,0,0,1,1,0,0,11001100,204
8.1259426,0.913778195,31.15648149,33.90869187,2.788012909,239.7491838,1,1,1,0,0,1,1,0,0,11001100,204
4.239197606,1.926316233,24.05466712,8.703155159,15.70040913,480.3244693,1,1,0,0,0,1,0,1,0,10001010,138
0.747452585,1.541768985,3.031119324,5.832577883,62.92129363,451.4258006,1,0,0,0,0,0,0,1,0,10,2
10.59763266,0.704270836,28.11661013,34.4463279,28.2733207,1284.162975,1,1,1,1,0,1,1,0,0,11101100,236
10.61706286,0.447427416,32.5542287,26.60539195,85.50074408,286.4173292,1,1,1,0,1,0,1,0,1,11010101,213
3.125477893,0.627583155,10.30546888,26.54465958,6.537865964,424.392115,1,0,1,0,0,1,0,1,0,1001010,74
8.138337964,1.855436541,3.055803437,9.881388396,42.85422878,31.9489417,0,0,0,0,0,1,1,0,0,1100,12
0.085091341,1.985950236,0.810250064,33.50320304,68.15212445,517.9724968,0,0,1,0,0,0,0,1,0,1000010,66
2.562968667,0.282584041,28.01014553,1.552264044,12.44321971,573.1968156,1,1,0,0,0,1,0,1,1,10001011,139
8.908074395,1.934839276,1.898270781,13.35589213,68.96580935,403.4772218,0,0,0,0,0,0,1,0,0,100,4
6.59660865,1.989463231,16.83907862,31.61379558,97.99645536,1099.381108,1,0,1,1,1,0,1,0,0,1110100,116
2.150473855,0.000798901,34.9044346,11.2253664,34.30419135,671.7339324,1,1,0,0,0,1,0,1,1,10001011,139
10.65522321,0.828830929,10.98128781,27.27981422,76.34500211,48.24920409,0,0,1,0,0,0,1,0,0,1000100,68
7.55522359,0.337798937,2.821699641,31.60692929,51.53540172,148.3577035,0,0,1,0,0,1,1,0,1,1001101,77
3.18072065,0.168334421,24.97244133,5.57492041,9.070209975,515.297817,0,1,0,0,0,1,0,1,1,10001011,139
11.14447707,1.412558103,28.6544616,16.84939329,98.55833795,1118.992446,1,1,0,1,1,0,1,0,0,10110100,180
12.31856608,1.007989263,6.850982729,26.25440811,50.33452298,685.8064841,1,0,1,0,0,1,1,0,0,1001100,76
1.174193385,0.884682783,3.136282747,14.43401734,84.1189926,1185.043461,1,0,0,1,1,0,0,1,0,110010,50
5.160144484,1.840919828,17.15433584,3.072985488,69.66332921,518.1194776,0,0,0,0,0,0,0,1,0,10,2
9.683757096,1.677102843,28.65069284,25.63498233,33.12200407,452.0409657,0,1,1,0,0,1,1,0,0,11001100,204
2.181931072,0.718160229,28.83807367,19.27416805,31.39071541,952.9429628,1,1,0,0,0,1,0,1,0,10001010,138
1.927159986,1.820242696,12.4324626,25.56820586,2.950167722,203.7211269,1,0,1,0,0,1,0,1,0,1001010,74
2.830271804,0.817309247,26.24932253,7.579306556,42.29578486,238.2215721,1,1,0,0,0,1,0,1,0,10001010,138
9.7869417,0.474986325,16.02862962,22.79947138,98.78113104,314.2242841,1,0,0,0,1,0,1,0,1,10101,21
5.205431353,0.771538323,20.64610076,15.01045443,37.0506994,1101.525258,1,0,0,1,0,1,0,1,0,101010,42
4.185518144,0.725836568,13.58675689,11.80303071,93.28057816,1358.323153,1,0,0,1,1,0,0,1,0,110010,50
12.75076234,0.507843537,23.05116941,28.11301435,99.46774634,1382.981429,0,1,1,1,1,0,1,0,1,11110101,245
5.462884467,0.223107471,8.888833323,1.238599406,38.80813211,1452.103042,1,0,0,1,0,1,0,1,1,101011,43
3.186790267,0.618870847,11.982018,34.53601398,28.70169345,838.5521835,0,0,1,0,0,1,0,1,0,1001010,74
8.483763628,0.651448592,1.768579484,21.7335107,4.25534684,736.4220393,1,0,0,0,0,1,1,0,0,1100,12
10.62363411,0.502002002,15.7823253,27.39820787,60.52144973,567.43316,0,0,1,0,0,0,1,0,1,1000101,69
9.613270872,0.056896941,15.05899776,27.3464726,96.20871454,23.39557893,1,0,1,0,1,0,1,0,1,1010101,85
11.7266385,0.020368013,8.200598828,6.427082663,75.10032811,229.0197689,1,0,0,0,0,0,1,0,1,101,5
8.878762065,1.810888866,13.59609665,11.03939015,81.70399521,8.403269177,1,0,0,0,1,0,1,0,0,10100,20
9.689746275,1.502998809,3.860178063,10.1076576,49.63716207,410.6372032,1,0,0,0,0,1,1,0,0,1100,12
1.918454153,1.473741042,11.29087005,24.75527919,95.72817438,567.0355912,0,0,1,0,1,0,0,1,0,1010010,82
12.5265362,1.713562126,19.82675993,10.73960743,94.43299922,1404.672113,0,0,0,1,1,0,1,0,0,110100,52
8.362739534,0.121963387,2.106233956,13.25707381,36.70041952,191.6267605,0,0,0,0,0,1,1,0,1,1101,13
7.821117531,0.077275536,29.95878907,14.80471907,74.1084117,278.0082976,0,1,0,0,0,0,1,0,1,10000101,133
1.385838689,0.555048799,0.811881736,8.165020699,26.41273731,916.3239065,0,0,0,0,0,1,0,1,1,1011,11
0.562246907,1.745505105,21.89574474,11.97995642,1.612008102,1055.878723,0,0,0,1,0,1,0,1,0,101010,42
13.63583312,1.130099188,13.12253125,27.64838617,55.68154033,104.043784,0,0,1,0,0,1,1,0,0,1001100,76
8.369460362,1.597982294,2.268609396,9.544471205,42.07159816,1120.434268,0,0,0,1,0,1,1,0,0,101100,44
11.6133021,0.354875749,23.63840612,27.66603298,99.07683429,449.695884,0,1,1,0,1,0,1,0,1,11010101,213
10.8973497,0.390610094,13.27575102,34.82325147,3.30193862,1498.200792,0,0,1,1,0,1,1,0,1,1101101,109
8.234928587,0.463002623,4.610359335,31.83704175,74.59308687,983.8367857,0,0,1,0,0,0,1,0,1,1000101,69
12.14702057,1.377540776,7.940173988,0.838072896,74.70047263,670.6707753,0,0,0,0,0,0,1,0,0,100,4
13.12061276,1.408868784,26.23927632,28.82832705,47.15038947,997.7322146,0,1,1,0,0,1,1,0,0,11001100,204
13.65948853,1.920009496,20.77985232,28.53437992,79.35508722,723.4294145,0,0,1,0,0,0,1,0,0,1000100,68
8.602901694,0.245730036,21.68692932,30.46206257,73.07259248,140.7266573,0,0,1,0,0,0,1,0,1,1000101,69
6.314170242,0.334360033,1.528527542,20.11260211,80.65861605,97.09607428,0,0,0,0,1,0,1,0,1,10101,21
2.001092651,1.452305005,24.37726032,12.66977084,10.84035528,837.164033,0,1,0,0,0,1,0,1,0,10001010,138
0.35358276,0.490324175,7.295035523,4.454805119,91.9109548,569.8584734,0,0,0,0,1,0,0,1,1,10011,19
11.81564648,0.111183317,20.0307326,11.88296298,64.27020215,1395.214707,0,0,0,1,0,0,1,0,1,100101,37
5.780453993,0.952196962,23.08373012,28.78801431,16.2797775,1209.44424,0,1,1,1,0,1,0,1,0,11101010,234
4.041892341,0.546216576,18.61924686,34.44176006,21.96297406,1350.537714,1,0,1,1,0,1,0,1,1,1101011,107
11.23934243,1.002681873,12.25182872,34.28418979,50.90380902,67.45971429,0,0,1,0,0,1,1,0,0,1001100,76
11.17034754,1.339548402,23.31903384,9.061413524,62.50772453,663.8266439,1,1,0,0,0,0,1,0,0,10000100,132
5.793132132,0.906123781,5.091800195,1.224244587,49.87635692,1107.493869,0,0,0,1,0,1,0,1,0,101010,42
3.765985854,1.949661849,22.04653846,19.77192766,46.58295227,1082.943942,0,1,0,1,0,1,0,1,0,10101010,170
3.903633595,1.497289643,26.11881986,11.06681341,33.90066392,583.4418159,1,1,0,0,0,1,0,1,0,10001010,138
5.080368899,1.372850721,14.62496491,15.37166605,52.64802724,1315.314364,1,0,0,1,0,1,0,1,0,101010,42
4.22295191,1.3781674,17.19963311,22.57830084,56.22380331,573.4524285,0,0,0,0,0,1,0,1,0,1010,10
