pH,EC,W_Temp,A_Temp,Humid,CO2,Light_On_Off,Water_cooler,Air_Cooler,Air_Vent,Dehumidifier,Humidifier,Acid_Dozer,Base_Dozer,Nutrient_Dozer,Distilled_Water_Dozer,Binary,Decimal_Label
5.42,1.49,24.88,19.67,56.4,679,0,1,0,0,0,1,0,1,0,1,0100010101,277
5.5,1.43,18.6,25.59,80.7,915,1,0,1,0,1,0,0,1,0,1,1010100101,677
6.45,0.78,21.63,25.39,66.7,910,0,0,1,0,0,0,0,0,0,0,0010000000,128
6.49,1.36,25.6,18.96,71.2,638,0,1,0,0,0,0,0,0,0,1,0100000001,257
7.05,0.81,19.3,26.18,58.1,385,1,0,1,0,0,1,1,0,0,0,1010011000,664
7.05,1.0,23.38,26.09,87.6,806,1,1,1,0,1,0,1,0,0,0,1110101000,936
6.59,0.94,19.94,16.45,76.2,839,1,0,0,0,0,0,1,0,0,0,1000001000,520
6.59,1.19,16.67,23.22,64.6,1160,1,0,0,1,0,0,1,0,0,0,1001001000,584
5.8,0.74,20.82,17.32,64.3,472,0,0,0,0,0,0,0,0,0,0,0000000000,0
7.01,0.82,18.58,26.93,66.1,727,0,0,1,0,0,0,1,0,0,0,0010001000,136
6.5,0.83,18.32,24.08,62.6,514,1,0,1,0,0,0,0,0,0,0,1010000000,640
6.0,1.16,23.88,24.45,72.2,373,0,1,1,0,0,0,0,0,0,0,0110000000,384
6.27,1.15,19.82,25.43,63.5,559,0,0,1,0,0,0,0,0,0,0,0010000000,128
6.98,1.34,21.91,24.47,63.1,1033,0,0,1,1,0,0,1,0,0,1,0011001001,201
6.18,1.1,22.97,24.95,65.7,591,0,1,1,0,0,0,0,0,0,0,0110000000,384
5.97,0.62,15.48,27.76,79.4,524,0,0,1,0,0,0,0,0,0,0,0010000000,128
6.08,0.49,24.4,18.99,84.2,1096,1,1,0,1,1,0,0,0,1,0,1101100010,866
6.04,1.3,25.82,17.22,80.1,582,0,1,0,0,1,0,0,0,0,1,0100100001,289
6.44,0.87,25.66,24.5,77.1,838,1,1,1,0,0,0,0,0,0,0,1110000000,896
5.31,1.2,23.15,27.09,88.7,476,0,1,1,0,1,0,0,1,0,0,0110100100,420
5.42,1.4,24.6,22.11,82.1,809,1,1,0,0,1,0,0,1,0,1,1100100101,805
6.07,0.77,21.75,25.03,86.5,1167,1,0,1,1,1,0,0,0,0,0,1011100000,736
6.06,0.84,16.44,19.68,87.4,1082,1,0,0,1,1,0,0,0,0,0,1001100000,608
5.34,1.18,16.2,21.81,55.3,953,1,0,0,0,0,1,0,1,0,0,1000010100,532
5.51,0.93,20.93,21.22,55.4,604,1,0,0,0,0,1,0,1,0,0,1000010100,532
5.76,0.93,21.08,19.92,84.5,562,0,0,0,0,1,0,0,1,0,0,0000100100,36
5.42,0.81,18.13,20.54,82.9,632,0,0,0,0,1,0,0,1,0,0,0000100100,36
6.15,0.48,24.06,28.65,88.0,415,0,1,1,0,1,0,0,0,1,0,0110100010,418
5.95,1.22,23.23,20.0,85.7,1126,1,1,0,1,1,0,0,0,0,1,1101100001,865
6.38,1.27,25.73,20.17,69.7,1070,1,1,0,1,0,0,0,0,0,1,1101000001,833
6.21,1.33,25.29,20.46,65.6,914,1,1,0,0,0,0,0,0,0,1,1100000001,769
6.54,0.44,15.11,25.45,64.7,651,0,0,1,0,0,0,1,0,1,0,0010001010,138
5.3,0.47,19.49,28.21,85.6,766,0,0,1,0,1,0,0,1,1,0,0010100110,166
5.81,0.78,24.44,25.29,77.6,1104,1,1,1,1,0,0,0,0,0,0,1111000000,960
6.0,0.89,16.73,22.88,75.5,429,1,0,0,0,0,0,0,0,0,0,1000000000,512
5.94,0.53,21.55,19.84,70.5,676,0,0,0,0,0,0,0,0,1,0,0000000010,2
6.76,0.95,25.89,25.71,77.7,461,1,1,1,0,0,0,1,0,0,0,1110001000,904
5.39,0.59,19.76,25.52,85.3,851,0,0,1,0,1,0,0,1,1,0,0010100110,166
7.11,1.16,24.38,24.98,65.8,1077,1,1,1,1,0,0,1,0,0,0,1111001000,968
5.98,0.89,25.78,16.69,88.0,1143,0,1,0,1,1,0,0,0,0,0,0101100000,352
6.77,0.67,20.92,21.63,74.7,801,1,0,0,0,0,0,1,0,0,0,1000001000,520
6.18,1.33,23.99,20.85,78.8,344,1,1,0,0,0,0,0,0,0,1,1100000001,769
5.51,1.39,18.01,16.38,57.7,900,1,0,0,0,0,1,0,1,0,1,1000010101,533
6.88,1.5,22.63,19.23,62.6,822,1,1,0,0,0,0,1,0,0,1,1100001001,777
6.0,0.75,24.85,23.33,70.3,738,0,1,0,0,0,0,0,0,0,0,0100000000,256
6.2,0.88,18.58,26.16,66.2,1039,0,0,1,1,0,0,0,0,0,0,0011000000,192
6.21,1.16,18.79,15.06,86.5,784,0,0,0,0,1,0,0,0,0,0,0000100000,32
6.58,0.53,16.97,17.67,65.1,450,1,0,0,0,0,0,1,0,1,0,1000001010,522
7.06,0.84,18.38,24.35,82.9,868,1,0,1,0,1,0,1,0,0,0,1010101000,680
5.84,0.79,25.59,23.75,88.1,1109,1,1,0,1,1,0,0,0,0,0,1101100000,864
6.69,1.08,15.9,24.88,82.0,384,1,0,1,0,1,0,1,0,0,0,1010101000,680
6.07,0.41,20.01,27.28,78.4,678,1,0,1,0,0,0,0,0,1,0,1010000010,642
5.31,1.1,15.61,24.6,75.2,501,0,0,1,0,0,0,0,1,0,0,0010000100,132
6.58,0.87,17.09,17.18,70.8,1060,0,0,0,1,0,0,1,0,0,0,0001001000,72
6.67,1.4,16.2,17.87,79.8,636,0,0,0,0,0,0,1,0,0,1,0000001001,9
6.45,0.51,20.79,16.31,73.9,366,1,0,0,0,0,0,0,0,1,0,1000000010,514
6.98,1.18,19.47,28.64,61.9,941,0,0,1,0,0,0,1,0,0,0,0010001000,136
5.5,1.27,23.34,23.32,80.7,1032,0,1,0,1,1,0,0,1,0,1,0101100101,357
6.35,0.48,21.55,18.1,57.8,1079,0,0,0,1,0,1,0,0,1,0,0001010010,82
6.38,0.64,23.94,16.05,83.5,1141,0,1,0,1,1,0,0,0,0,0,0101100000,352
6.45,0.79,23.21,28.12,70.3,760,1,1,1,0,0,0,0,0,0,0,1110000000,896
5.52,1.07,20.1,18.7,78.9,1190,0,0,0,1,0,0,0,1,0,0,0001000100,68
6.08,0.93,15.16,20.89,65.1,631,0,0,0,0,0,0,0,0,0,0,0000000000,0
6.18,0.94,17.11,27.53,82.7,573,0,0,1,0,1,0,0,0,0,0,0010100000,160
5.74,1.04,25.92,23.27,78.0,639,1,1,0,0,0,0,0,1,0,0,1100000100,772
6.48,1.01,17.72,20.15,74.9,1140,1,0,0,1,0,0,0,0,0,0,1001000000,576
6.28,1.02,21.78,24.27,59.4,922,1,0,1,0,0,1,0,0,0,0,1010010000,656
7.09,1.44,17.54,21.56,83.2,1056,1,0,0,1,1,0,1,0,0,1,1001101001,617
6.15,1.49,25.79,19.16,72.3,908,1,1,0,0,0,0,0,0,0,1,1100000001,769
6.15,1.16,15.72,15.61,58.5,482,1,0,0,0,0,1,0,0,0,0,1000010000,528
6.74,1.49,21.3,19.63,70.9,942,0,0,0,0,0,0,1,0,0,1,0000001001,9
6.02,1.1,23.2,20.37,85.4,683,1,1,0,0,1,0,0,0,0,0,1100100000,800
6.27,0.67,21.21,18.62,82.5,754,1,0,0,0,1,0,0,0,0,0,1000100000,544
6.91,0.42,20.76,24.96,78.2,962,1,0,1,0,0,0,1,0,1,0,1010001010,650
6.18,0.52,17.78,16.61,69.5,513,1,0,0,0,0,0,0,0,1,0,1000000010,514
5.5,1.21,20.25,19.39,58.9,1096,1,0,0,1,0,1,0,1,0,1,1001010101,597
5.79,1.11,20.42,25.72,82.9,423,0,0,1,0,1,0,0,1,0,0,0010100100,164
6.77,0.56,22.76,17.69,55.2,526,0,1,0,0,0,1,1,0,1,0,0100011010,282
6.99,1.03,17.88,16.28,87.9,309,1,0,0,0,1,0,1,0,0,0,1000101000,552
6.32,1.49,19.23,20.86,86.6,670,1,0,0,0,1,0,0,0,0,1,1000100001,545
7.14,0.43,18.17,18.72,61.6,586,0,0,0,0,0,0,1,0,1,0,0000001010,10
5.43,1.39,23.6,18.66,73.6,1067,0,1,0,1,0,0,0,1,0,1,0101000101,325
6.45,1.06,15.78,20.21,81.3,741,0,0,0,0,1,0,0,0,0,0,0000100000,32
5.59,0.99,22.37,25.32,82.6,635,1,1,1,0,1,0,0,1,0,0,1110100100,932
5.92,0.93,15.06,27.24,72.8,462,1,0,1,0,0,0,0,0,0,0,1010000000,640
6.5,1.1,24.39,21.45,55.6,931,0,1,0,0,0,1,0,0,0,0,0100010000,272
6.85,1.0,18.48,28.06,88.7,1128,0,0,1,1,1,0,1,0,0,0,0011101000,232
5.81,0.43,22.41,23.37,62.3,327,0,1,0,0,0,0,0,0,1,0,0100000010,258
7.18,0.6,20.92,21.49,80.3,695,1,0,0,0,1,0,1,0,0,0,1000101000,552
6.09,0.54,17.63,19.71,78.5,441,0,0,0,0,0,0,0,0,1,0,0000000010,2
5.85,0.67,15.14,15.08,61.9,849,0,0,0,0,0,0,0,0,0,0,0000000000,0
6.56,1.4,20.01,21.3,55.8,844,0,0,0,0,0,1,1,0,0,1,0000011001,25
6.43,1.37,20.26,15.17,67.0,975,0,0,0,0,0,0,0,0,0,1,0000000001,1
5.75,1.13,22.71,19.94,87.3,948,0,1,0,0,1,0,0,1,0,0,0100100100,292
5.5,0.7,18.04,23.15,68.8,661,1,0,0,0,0,0,0,1,0,0,1000000100,516
6.34,0.92,16.86,27.49,86.4,304,1,0,1,0,1,0,0,0,0,0,1010100000,672
6.51,1.28,18.74,15.14,73.2,316,0,0,0,0,0,0,1,0,0,1,0000001001,9
6.72,1.28,16.63,26.44,60.3,591,0,0,1,0,0,0,1,0,0,1,0010001001,137
6.55,0.99,22.96,20.41,78.7,842,1,1,0,0,0,0,1,0,0,0,1100001000,776
5.48,0.58,18.72,28.57,87.1,1183,0,0,1,1,1,0,0,1,1,0,0011100110,230
6.18,1.15,22.18,16.99,64.9,384,0,1,0,0,0,0,0,0,0,0,0100000000,256
5.8,0.44,17.33,25.22,80.5,837,1,0,1,0,1,0,0,0,1,0,1010100010,674
6.88,0.9,15.32,24.97,77.2,523,0,0,1,0,0,0,1,0,0,0,0010001000,136
5.8,1.36,19.55,23.4,78.1,804,1,0,0,0,0,0,0,0,0,1,1000000001,513
5.69,0.67,24.93,20.29,86.4,671,1,1,0,0,1,0,0,1,0,0,1100100100,804
6.94,0.64,15.34,21.21,61.7,714,1,0,0,0,0,0,1,0,0,0,1000001000,520
6.11,0.78,17.97,27.15,79.7,808,1,0,1,0,0,0,0,0,0,0,1010000000,640
5.75,0.74,24.93,24.89,59.6,553,1,1,1,0,0,1,0,1,0,0,1110010100,916
5.99,0.61,24.42,16.04,64.6,1135,0,1,0,1,0,0,0,0,0,0,0101000000,320
6.09,1.48,16.03,23.0,79.1,1042,1,0,0,1,0,0,0,0,0,1,1001000001,577
6.91,0.76,15.52,23.32,68.4,572,1,0,0,0,0,0,1,0,0,0,1000001000,520
6.81,1.0,23.7,22.5,61.1,776,1,1,0,0,0,0,1,0,0,0,1100001000,776
5.96,0.59,18.18,27.93,63.0,482,0,0,1,0,0,0,0,0,1,0,0010000010,130
6.86,1.21,25.74,26.77,70.7,858,0,1,1,0,0,0,1,0,0,1,0110001001,393
6.11,0.68,19.89,16.96,66.7,301,0,0,0,0,0,0,0,0,0,0,0000000000,0
6.11,0.7,21.63,27.34,89.6,495,1,0,1,0,1,0,0,0,0,0,1010100000,672
6.32,1.13,22.13,20.31,74.9,340,0,1,0,0,0,0,0,0,0,0,0100000000,256
6.0,1.14,22.19,23.86,58.7,819,1,1,0,0,0,1,0,0,0,0,1100010000,784
6.18,0.5,20.15,22.46,77.7,1196,1,0,0,1,0,0,0,0,1,0,1001000010,578
5.62,1.34,24.12,18.41,88.7,631,1,1,0,0,1,0,0,1,0,1,1100100101,805
6.4,1.26,20.43,16.29,79.8,468,0,0,0,0,0,0,0,0,0,1,0000000001,1
5.4,0.69,18.23,18.96,84.1,594,0,0,0,0,1,0,0,1,0,0,0000100100,36
5.83,1.35,19.44,25.95,60.0,1091,1,0,1,1,0,0,0,0,0,1,1011000001,705
5.75,1.25,15.34,28.95,60.1,353,0,0,1,0,0,0,0,1,0,1,0010000101,133
6.72,0.69,24.85,16.37,66.5,602,1,1,0,0,0,0,1,0,0,0,1100001000,776
6.16,0.84,20.55,20.04,82.6,326,0,0,0,0,1,0,0,0,0,0,0000100000,32
6.14,0.52,16.3,26.07,62.0,548,0,0,1,0,0,0,0,0,1,0,0010000010,130
5.4,1.02,21.71,17.87,72.2,450,0,0,0,0,0,0,0,1,0,0,0000000100,4
6.27,1.32,15.16,27.58,68.1,405,0,0,1,0,0,0,0,0,0,1,0010000001,129
6.87,1.45,23.03,19.39,79.8,673,1,1,0,0,0,0,1,0,0,1,1100001001,777
6.5,1.44,19.76,16.17,88.9,479,0,0,0,0,1,0,0,0,0,1,0000100001,33
5.85,1.43,23.2,20.42,77.5,891,0,1,0,0,0,0,0,0,0,1,0100000001,257
5.75,0.9,21.34,28.76,64.5,437,1,0,1,0,0,0,0,1,0,0,1010000100,644
5.74,1.42,19.71,18.84,63.4,501,0,0,0,0,0,0,0,1,0,1,0000000101,5
6.66,0.96,20.66,26.93,62.5,1007,0,0,1,1,0,0,1,0,0,0,0011001000,200
5.96,0.85,23.56,20.2,87.7,454,0,1,0,0,1,0,0,0,0,0,0100100000,288
6.02,0.68,22.98,15.14,56.1,603,0,1,0,0,0,1,0,0,0,0,0100010000,272
6.91,0.96,19.16,25.29,79.5,441,1,0,1,0,0,0,1,0,0,0,1010001000,648
5.35,1.05,22.34,15.99,70.9,579,0,1,0,0,0,0,0,1,0,0,0100000100,260
7.06,1.4,18.63,19.04,78.4,308,1,0,0,0,0,0,1,0,0,1,1000001001,521
7.13,1.17,18.47,16.65,78.1,467,0,0,0,0,0,0,1,0,0,0,0000001000,8
6.82,0.98,25.24,17.26,82.2,884,0,1,0,0,1,0,1,0,0,0,0100101000,296
6.64,1.21,15.9,27.74,83.2,811,1,0,1,0,1,0,1,0,0,1,1010101001,681
5.5,0.54,24.43,19.63,77.7,329,0,1,0,0,0,0,0,1,1,0,0100000110,262
7.03,1.06,17.08,21.26,77.5,1181,1,0,0,1,0,0,1,0,0,0,1001001000,584
5.51,1.05,15.23,20.28,86.3,302,1,0,0,0,1,0,0,1,0,0,1000100100,548
7.11,0.55,18.31,23.3,56.9,945,1,0,0,0,0,1,1,0,1,0,1000011010,538
5.87,1.18,20.99,23.55,79.7,877,1,0,0,0,0,0,0,0,0,0,1000000000,512
6.13,1.36,15.64,20.3,75.3,944,1,0,0,0,0,0,0,0,0,1,1000000001,513
7.19,1.31,16.42,21.06,66.2,744,0,0,0,0,0,0,1,0,0,1,0000001001,9
6.88,1.19,20.42,24.73,67.7,766,1,0,1,0,0,0,1,0,0,0,1010001000,648
6.34,0.76,23.48,23.87,70.9,1035,0,1,0,1,0,0,0,0,0,0,0101000000,320
5.32,0.65,23.55,19.26,56.9,1056,1,1,0,1,0,1,0,1,0,0,1101010100,852
6.55,0.7,19.77,17.67,55.1,565,1,0,0,0,0,1,1,0,0,0,1000011000,536
6.86,0.7,19.01,15.47,67.4,746,0,0,0,0,0,0,1,0,0,0,0000001000,8
6.55,0.43,18.48,27.33,63.7,890,0,0,1,0,0,0,1,0,1,0,0010001010,138
6.7,0.95,16.5,22.16,59.1,937,1,0,0,0,0,1,1,0,0,0,1000011000,536
6.47,0.95,15.32,22.06,86.7,909,1,0,0,0,1,0,0,0,0,0,1000100000,544
5.49,1.3,25.03,28.05,71.0,665,1,1,1,0,0,0,0,1,0,1,1110000101,901
5.89,0.84,16.97,21.05,83.3,1099,0,0,0,1,1,0,0,0,0,0,0001100000,96
6.99,1.19,15.91,18.85,77.6,817,1,0,0,0,0,0,1,0,0,0,1000001000,520
5.44,0.43,22.47,21.0,80.3,774,0,1,0,0,1,0,0,1,1,0,0100100110,294
6.3,1.0,18.11,26.47,65.1,806,1,0,1,0,0,0,0,0,0,0,1010000000,640
7.12,1.3,20.96,15.78,71.6,305,0,0,0,0,0,0,1,0,0,1,0000001001,9
5.61,0.66,22.43,24.01,75.0,1068,0,1,1,1,0,0,0,1,0,0,0111000100,452
6.84,1.12,17.91,15.71,65.0,1183,0,0,0,1,0,0,1,0,0,0,0001001000,72
6.34,1.11,25.45,26.3,62.7,1072,0,1,1,1,0,0,0,0,0,0,0111000000,448
7.03,1.05,25.54,19.04,59.3,1188,0,1,0,1,0,1,1,0,0,0,0101011000,344
5.78,1.25,24.57,18.5,84.2,596,1,1,0,0,1,0,0,1,0,1,1100100101,805
6.29,0.67,20.19,15.68,81.9,664,1,0,0,0,1,0,0,0,0,0,1000100000,544
5.85,1.39,15.91,24.74,82.8,681,1,0,1,0,1,0,0,0,0,1,1010100001,673
7.01,1.06,17.34,15.27,57.0,659,1,0,0,0,0,1,1,0,0,0,1000011000,536
6.68,1.22,17.04,25.57,74.6,975,1,0,1,0,0,0,1,0,0,1,1010001001,649
5.92,1.3,21.63,20.1,65.7,1191,0,0,0,1,0,0,0,0,0,1,0001000001,65
5.35,1.44,17.97,27.3,89.3,854,0,0,1,0,1,0,0,1,0,1,0010100101,165
6.84,0.55,22.91,19.02,72.2,650,0,1,0,0,0,0,1,0,1,0,0100001010,266
6.59,1.4,22.6,17.73,87.6,1188,1,1,0,1,1,0,1,0,0,1,1101101001,873
7.17,0.87,21.01,18.68,80.8,762,0,0,0,0,1,0,1,0,0,0,0000101000,40
5.58,1.43,25.5,15.04,86.1,458,1,1,0,0,1,0,0,1,0,1,1100100101,805
6.28,0.88,17.93,15.19,74.0,879,1,0,0,0,0,0,0,0,0,0,1000000000,512
6.25,0.53,18.27,22.68,74.7,969,1,0,0,0,0,0,0,0,1,0,1000000010,514
6.12,0.84,21.07,17.65,56.4,490,0,0,0,0,0,1,0,0,0,0,0000010000,16
5.43,1.4,24.58,24.61,75.2,570,0,1,1,0,0,0,0,1,0,1,0110000101,389
5.81,0.74,19.83,18.06,60.2,388,0,0,0,0,0,0,0,0,0,0,0000000000,0
6.09,1.26,15.45,22.54,59.4,642,0,0,0,0,0,1,0,0,0,1,0000010001,17
6.85,0.79,18.02,26.15,71.3,694,1,0,1,0,0,0,1,0,0,0,1010001000,648
7.04,0.65,25.54,21.28,61.0,558,0,1,0,0,0,0,1,0,0,0,0100001000,264
6.67,1.14,17.28,25.29,82.0,436,0,0,1,0,1,0,1,0,0,0,0010101000,168
5.55,0.81,23.01,21.88,86.7,313,0,1,0,0,1,0,0,1,0,0,0100100100,292
5.6,1.04,15.3,17.25,75.9,906,0,0,0,0,0,0,0,1,0,0,0000000100,4
5.47,0.59,23.63,26.5,78.3,795,1,1,1,0,0,0,0,1,1,0,1110000110,902
5.43,1.03,18.35,25.49,62.1,594,1,0,1,0,0,0,0,1,0,0,1010000100,644
6.27,0.8,20.92,25.74,55.6,354,1,0,1,0,0,1,0,0,0,0,1010010000,656
5.71,0.63,16.95,20.45,64.4,1120,1,0,0,1,0,0,0,1,0,0,1001000100,580
5.73,0.82,20.35,27.14,70.6,756,0,0,1,0,0,0,0,1,0,0,0010000100,132
5.5,1.36,21.43,25.22,62.1,1053,0,0,1,1,0,0,0,1,0,1,0011000101,197
5.37,1.13,18.95,22.42,85.0,1075,0,0,0,1,1,0,0,1,0,0,0001100100,100
7.07,0.62,24.83,15.87,73.8,367,0,1,0,0,0,0,1,0,0,0,0100001000,264
6.68,0.49,24.63,15.19,64.8,997,0,1,0,0,0,0,1,0,1,0,0100001010,266
6.08,0.54,25.72,24.23,80.2,655,0,1,1,0,1,0,0,0,1,0,0110100010,418
5.39,1.01,22.88,26.14,85.5,489,0,1,1,0,1,0,0,1,0,0,0110100100,420
6.19,0.82,21.05,19.28,62.5,817,1,0,0,0,0,0,0,0,0,0,1000000000,512
6.27,0.9,20.26,21.15,71.0,670,0,0,0,0,0,0,0,0,0,0,0000000000,0
5.34,0.94,25.05,21.14,67.6,520,0,1,0,0,0,0,0,1,0,0,0100000100,260
6.3,0.88,24.5,20.83,62.9,835,1,1,0,0,0,0,0,0,0,0,1100000000,768
6.04,0.84,20.83,22.08,76.4,504,1,0,0,0,0,0,0,0,0,0,1000000000,512
6.93,0.95,20.91,16.24,76.4,732,1,0,0,0,0,0,1,0,0,0,1000001000,520
6.14,1.13,15.22,28.45,82.9,1086,1,0,1,1,1,0,0,0,0,0,1011100000,736
6.99,1.31,25.59,23.52,75.5,975,0,1,0,0,0,0,1,0,0,1,0100001001,265
6.62,1.29,15.13,18.04,69.4,1189,1,0,0,1,0,0,1,0,0,1,1001001001,585
5.7,1.39,24.58,24.91,73.5,849,0,1,1,0,0,0,0,1,0,1,0110000101,389
5.64,0.42,15.3,17.29,69.9,800,0,0,0,0,0,0,0,1,1,0,0000000110,6
5.62,1.5,21.7,24.93,72.3,1107,1,0,1,1,0,0,0,1,0,1,1011000101,709
6.76,0.61,18.79,28.51,64.2,370,1,0,1,0,0,0,1,0,0,0,1010001000,648
6.76,1.09,20.52,15.98,71.3,728,1,0,0,0,0,0,1,0,0,0,1000001000,520
7.12,0.8,22.06,28.59,68.6,442,0,1,1,0,0,0,1,0,0,0,0110001000,392
6.19,1.46,18.77,17.92,75.1,460,1,0,0,0,0,0,0,0,0,1,1000000001,513
5.86,0.97,18.08,25.31,82.0,397,1,0,1,0,1,0,0,0,0,0,1010100000,672
5.77,0.5,21.22,23.28,75.8,491,0,0,0,0,0,0,0,1,1,0,0000000110,6
6.36,0.83,18.28,25.42,63.2,580,1,0,1,0,0,0,0,0,0,0,1010000000,640
6.27,1.09,21.32,17.64,66.3,536,1,0,0,0,0,0,0,0,0,0,1000000000,512
5.47,1.44,19.1,17.11,68.0,1039,1,0,0,1,0,0,0,1,0,1,1001000101,581
6.51,1.36,16.1,27.36,74.9,998,1,0,1,0,0,0,1,0,0,1,1010001001,649
5.78,1.11,22.15,21.71,76.5,584,0,1,0,0,0,0,0,1,0,0,0100000100,260
5.62,0.51,15.62,20.02,66.7,506,0,0,0,0,0,0,0,1,1,0,0000000110,6
7.15,0.98,25.88,15.41,64.8,714,1,1,0,0,0,0,1,0,0,0,1100001000,776
6.76,0.84,17.69,21.83,65.7,710,1,0,0,0,0,0,1,0,0,0,1000001000,520
7.05,1.02,21.66,26.28,73.0,686,0,0,1,0,0,0,1,0,0,0,0010001000,136
7.16,0.48,19.86,17.17,81.2,952,1,0,0,0,1,0,1,0,1,0,1000101010,554
6.15,0.71,23.27,17.78,88.6,445,0,1,0,0,1,0,0,0,0,0,0100100000,288
5.73,1.02,17.22,26.14,82.4,972,0,0,1,0,1,0,0,1,0,0,0010100100,164
6.21,0.71,18.03,22.41,74.7,950,1,0,0,0,0,0,0,0,0,0,1000000000,512
5.68,1.39,15.45,18.78,56.8,669,0,0,0,0,0,1,0,1,0,1,0000010101,21
5.57,0.83,24.2,26.65,88.5,657,0,1,1,0,1,0,0,1,0,0,0110100100,420
6.55,0.51,17.65,15.95,90.0,546,0,0,0,0,1,0,1,0,1,0,0000101010,42
5.86,1.28,22.35,16.53,66.8,877,1,1,0,0,0,0,0,0,0,1,1100000001,769
5.78,1.06,23.93,22.84,78.5,687,0,1,0,0,0,0,0,1,0,0,0100000100,260
5.83,0.99,17.91,19.63,74.8,1130,0,0,0,1,0,0,0,0,0,0,0001000000,64
6.32,1.06,21.58,28.53,86.7,371,1,0,1,0,1,0,0,0,0,0,1010100000,672
